DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
3,1.25,0.2165,0.229,3.208,0.303,0.3235,0.0115,-30.106,-0.273,2.476,0.073,-5.244,0.7365,1.5255,55.01,76.89,386.578,2.53,-95.6,0,-1.9705,0,1.2995,205.25,297.2,4.247,0
3,1.75,0.2285,0.357,3.063,0.319,0.323,0.0075,-31.039,-0.189,2.2935,0.0015,-5.4255,0.6915,1.4725,56.065,76.88,386.774,2.415,-95.55,0,-1.8995,0,1.277,205.8,296.3,4.181,0
3,2.25,0.2275,-0.006,2.982,0.295,0.308,0.01,-31.66,-0.179,2.413,-0.013,-5.442,0.6725,1.567,54.92,76.865,386.908,2.49,-95.05,0,-1.984,0,1.331,203.05,294.7,4.133,0
3,2.75,0.208,-0.0065,2.937,0.35,0.3495,0.007,-34.2745,-0.205,2.558,-0.024,-5.454,0.673,1.67,56.145,76.845,386.996,2.33,-94.85,0,-2.044,0,1.241,201.7,293.75,4.077,0
3,3.25,0.2015,-0.4245,2.868,0.335,0.3285,0.006,-32.601,-0.251,2.5385,-0.04,-5.4575,0.6375,1.626,55.06,76.815,387.173,2.43,-93.3,0,-1.889,0,1.325,203.2,292.65,4.085,0
3,3.75,0.2415,0.1035,3.028,0.327,0.346,0.002,-35.7315,-0.1505,3.3885,0.0105,-5.28,0.6225,1.5465,54.785,76.81,387.198,2.51,-93.2,0,-1.867,0,1.2285,202.85,293.75,3.963,0
3,4.25,0.2315,-0.1245,2.992,0.3235,0.3165,0.004,-29.6705,-0.104,2.952,0.01,-5.3525,0.6145,1.4475,55.635,76.8155,387.413,2.45,-92.6,0,-1.8975,0,1.2245,202.2,293.45,4.072,0
3,4.75,0.216,-0.3475,3.128,0.32,0.2865,0.001,-35.6615,-0.133,3.2615,-0.019,-5.468,0.598,1.5155,55.86,76.835,387.353,2.4,-93.5,0,-1.84,0,1.213,202.55,292.65,3.997,0
3,5.25,0.215,-0.719,3.023,0.326,0.3215,0.0065,-32.5835,-0.159,2.25,0.014,-5.456,0.5895,1.564,58.585,76.82,387.367,2.33,-93.15,0,-1.8755,0,1.195,203.55,291.9,4.04,0
3,5.75,0.2135,-0.735,3.007,0.295,0.301,0.003,-33.9795,-0.134,1.9295,-0.058,-5.4515,0.5815,1.5155,58.05,76.83,387.419,2.14,-91.8,0,-1.903,0,1.2645,202.7,290.55,4.062,0
3,6.25,0.217,-0.7635,2.82,0.2945,0.279,0.003,-29.4225,-0.121,2.2745,-0.0825,-5.443,0.554,1.4515,56.93,76.83,387.388,2.155,-90.8,0,-0.8165,0,1.67,202.05,290.85,4.058,0
